SCHOOL_ID,EXAMEN_JAAR,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,AANTAL_LEERLINGEN_EXAMEN,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
013HX,2015,Samenspel (loc. Kantershof),1104HJ,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,"Samenwerking PC, RK",43864,55.0,CET,55,537.0
013HY,2015,Pr Willem Alexandersch,3078CK,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Protestants-Christelijk,47595,30.0,CET,29,531.4
013IC,2015,Mauritsschool,3434CA,NIEUWEGEIN,356,Nieuwegein,Utrecht,Bo,Protestants-Christelijk,41528,25.0,CET,25,538.0
013ID,2015,Sjaloomschool,2224BP,KATWIJK ZH,537,Katwijk,Zuid-Holland,Bo,Protestants-Christelijk,40508,24.0,CET,24,537.0
013IE,2015,Chr Basissch Eben Haezer,9101AC,DOKKUM,58,Dongeradeel,Friesland,Bo,Protestants-Christelijk,40788,24.0,CET,24,537.8
013IF,2015,Basisschool het Kompas,1333EC,ALMERE,34,Almere,Flevoland,Bo,Protestants-Christelijk,40114,17.0,CET,17,534.1
013IH,2015,Rehobothschool,3905GJ,VEENENDAAL,345,Veenendaal,Utrecht,Bo,Protestants-Christelijk,70085,56.0,CET,56,537.2
013IK,2015,De Kameleon,2691EE,'S-GRAVENZANDE,1783,Westland,Zuid-Holland,Bo,Protestants-Christelijk,41454,60.0,IEP,60,81.6
013IQ,2015,De Regenboog,3731XG,DE BILT,310,De Bilt,Utrecht,Bo,Protestants-Christelijk,41794,20.0,CET,20,538.1
013IU,2015,RK Basissch De Loofhut,1355GK,ALMERE,34,Almere,Flevoland,Bo,Rooms-Katholiek,40950,22.0,CET,22,533.1
013IV,2015,PC Basissch de Wegwijzer,2231VD,RIJNSBURG,537,Katwijk,Zuid-Holland,Bo,Protestants-Christelijk,80095,30.0,CET,30,537.4
013IZ,2015,Pr Willem v Oranjeschool,4532AE,TERNEUZEN,715,Terneuzen,Zeeland,Bo,Protestants-Christelijk,41241,39.0,CET,38,537.4
013JA,2015,Basissch Pr W Alexander,3772EE,BARNEVELD,203,Barneveld,Gelderland,Bo,Protestants-Christelijk,83579,26.0,CET,26,534.3
013JH,2015,OBS De Vliegerdt,3216AB,ABBENBROEK,568,Bernisse,Zuid-Holland,Bo,Openbaar,41570,11.0,CET,11,538.5
013JJ,2015,OBS de Sprenge,8171KC,VAASSEN,232,Epe,Gelderland,Bo,Openbaar,41345,21.0,CET,21,528.9
113JJ,2015,Obs De Sprenge Vaassen,8171LH,VAASSEN,232,Epe,Gelderland,Bo,Openbaar,41345,9.0,CET,9,529.7
213JJ,2015,Obs De Sprenge Lok Emst,8166AP,EMST,232,Epe,Gelderland,Bo,Openbaar,41345,10.0,CET,10,525.4
